perk_name, description, character
Dead Hard,"Activate-able Perk. You can take a beating.  When Injured| tap into your adrenaline bank and dash forward quickly to avoid damage. Press the Active Ability button while running to dash forward.  During the dash| you avoid damage. Causes the Exhausted  Status Effect for 60/50/40 seconds. Dead Hard cannot be used when Exhausted. You do not recover from Exhaustion while running. ""We were walkin' through t'ginnel one night when a beer bottle flew past me| then another| and another.  I thought to myself ""Gonna 'ave some fun 'ere lads| let's get stuck in!"".  It were a right dust up| I swear down!"" - David King",David
Decisive Strike,"Using whatever is at hand| you stab at your aggressor in an ultimate attempt to escape. After being unhooked or unhooking yourself| Decisive Strike will become active and usable for 40/50/60 seconds. While Decisive Strike is active| when grabbed by the Killer| succeed a Skill Check  to automatically escape the Killer's grasp and stun them for 5 seconds. Succeeding or failing the Skill Check will disable Decisive Strike.  Successfully stunning the Killer will result in you becoming the Obsession. Increases the odds of being the Obsession. The Killer can only be obsessed with one Survivor at a time. ""There's nothing to be scared of. "" - Laurie Strode",Laurie
Deja Vu,Unlocks potential in one's Aura-reading ability.  Paranoia paired with your horror of failure helps prepare you from repeating the same mistakes. The Auras of 3 Generators  in closest proximity to each other are revealed to you for 30/45/60 seconds| at the start of the Trial and each time a Generator is completed. If you are holding a Map  that can track Objectives| Generators revealed by Déjà Vu are added to the Map. ,All
Deliverance,"After performing a Safe Hook Rescue on another Survivor| the Perk activates. You now have a 100 % chance to unhook yourself during the escape attempt. A successful Deliverance from the Hook  triggers the Broken  Status Effect for 100/80/60 seconds. ""I was raised by a strict man who taught me how to make the best of a bad situation. "" - Adam Francis",Adam
Detective's Hunch,"Unlocks potential in one's Aura-reading ability. After a Generator is completed| the Auras  of Generators | Chests  and Totems  within 32/48/64 metres are revealed to you for 10 seconds. If you are holding a Map  that can track Objectives| Generators revealed by Detective's Hunch are added to the Map. ""Are you able to tell us where you were last night?"" - Detective David Tapp",Tapp
Distortion,"You start the Trial with 3 Tokens. Whenever the Killer reads your Aura | Distortion activates and a Token is consumed. For the next 6/8/10 seconds while Distortion is activated| your Aura and Scratch Marks will not be shown to the Killer. Distortion does not activate when you are in the Dying State  or affected by Traps. ""'Death Fooled by the Cloak of Falcon Feathers. 'Sketch inspired by a few sleepless nights during winter.  Exploration of Norse mythology: bravery can conceal your flaws| even when you are at your most vulnerable. "" - Jeff| pencil on tone paper| 12x12",Jeff
Diversion,"Activate-able Perk. Standing within the Killer's Terror Radius while not in a Chase for 45 seconds activates Diversion. Once Diversion is activated| press the Active Ability button while crouched and motionless to throw a pebble| which creates a distraction for the Killer at a distance of 10/15/20 metres. The distraction consists of:A Loud Noise Notification Scratch MarksDiversion's timer resets once the ability has been activated. ""There's what is easy and then there's what is right.  If you confuse the two| there's no telling what you become. "" - Adam Francis",Adam
Empathy,Unlocks potential in one's Aura-reading ability. Dying  or Injured  Allies' Auras  are revealed to you when within 64/96/128 metres of range. Empathy does not reveal Auras of Allies when they are in the Killer's direct contact. ,Claudette
Fixated,"When you have a goal in mind| there's no turning back; better to ask forgiveness than permission. You can see your own Scratch Marks at all times. While uninjured| you walk 10/15/20 % faster. ""I wanna finish what we started.  I want to kill it. "" - Nancy Wheeler",Nancy
Flip-Flop,"You have an uncanny ability to escape the inevitable. While in the Dying State | 50 % of your recovery progression is converted into wiggle progression when you are picked up by the Killer| up to a maximum of 40/45/50 % total wiggle progression. ""Catch ya on the flip-flop. "" - Ash Williams",Ash
For the People,"You risk life and injury for others. For the People is only active while at full health. Press the Active Ability button while healing another Survivor without a Med-Kit  to instantly heal them from Dying  to Injured | or from Injured to Healthy . You become Injured and receive the Broken  Status Effect for 110/100/90 seconds. You become the Obsession . Reduces the odds of being the Obsession. The Killer can only be obsessed with one Survivor at a time. ""We can write our own story and decide how it really ends. "" - Zarina Kassir",Zarina
Head On,"When your mind is set| there better be no one standing in your way. While standing in a Locker  for 3 seconds| Head On activates. While Head On is activated| performing a rushed action to leave a Locker stuns the Killer for 3 seconds if they are standing within range. Causes the Exhausted  Status Effect for 60/50/40 seconds if the stun was successful. You do not recover from Exhaustion while running. Head On cannot be used when Exhausted or when you have accrued Stillness Crows . ""People are remembered for the challenges they overcome.  You can run away and forget what you're capable of or you can face your fears and remind the world of who you are. "" - Jane Romero",Jane
Hope,"The growing odds of a successful escape fill you with hope and give you wings. As soon as the Exit Gates  are powered| you gain a 5/6/7 % Haste  Status Effect for 120 seconds. ""Buckle up| fuckos! Let's roll. "" - Nikki| The Lost Tapes",All
Inner Strength,"You look inwards and trust your instincts when you feel lost and alone. Each time you cleanse a Totem | Inner Strength activates. While Inner Strength is activated| hiding inside a Locker  for 10/9/8 seconds when in the Injured State  or afflicted by the Deep Wound  Status Effect will automatically heal you one Health State. Inner Strength does not activate if you are afflicted by the Broken  Status Effect. ""All this time I've been trying so hard to pretend like everything's fine| but it's not. "" - Nancy Wheeler",Nancy
Iron Will,You're able to concentrate and enter a meditative-like state to numb some pain. Grunts of Pain caused by injuries are reduced by 50/75/100 %. ,Jake
Kindred,"Unlocks potential in one's Aura-reading ability. While you are on the Hook| all Survivor Auras are revealed to all Survivors. If the Killer is within a range of 8/12/16 metres| their Aura is also revealed to all Survivors. While any other Survivor is on the Hook| all Survivor Auras are revealed to you. If the Killer is within a range of 8/12/16 metres| their Aura is also revealed to you. ""Be kind to one another.  We're all in this together. "" - Sujan| The Lost Tapes",All
Leader,You're able to organise a team to cooperate more efficiently. Increases the other Survivors' Healing| Sabotage| Unhooking| Cleansing| Exit Gate Opening| and Chest Searching speeds by 15/20/25 % when they are within a range of 8 metres from you. Survivors can only be affected by one Leader effect at a time. This effect persists on other Survivors for 15 seconds after leaving Leader's range. ,Dwight
Left Behind,"You'll get the job done. . .  No matter the cost. When you are the last Survivor remaining in the Trial| the Aura  of the Hatch  is revealed to you within a range of 24/28/32 metres. ""I'm not horse-shittin' around.  I'm doing this alone!"" - Bill Overbeck",Bill
Lightweight,"Your running is light and soft| making your tracks harder to follow. Scratch Marks stay visible 1/2/3 seconds less than normal. ""Take it slow| he knows where you've been. . .  just like I've always said: 'live slow and die old'"" - Dylan| The Lost Tapes",All
Lithe,"After performing a rushed vault| break into a sprint at 150 % of your normal running speed for a maximum of 3 seconds. Causes the Exhausted  Status Effect for 60/50/40 seconds. Lithe cannot be used when Exhausted. You do not recover from Exhaustion while running. ""U mad?"" - Feng Min",Feng
Lucky Break,"You've had your share of scrapes and bruises| but luck's always on your side. Lucky Break activates any time you are injured. While Lucky Break is active| you won't leave trails of blood for a total of 120/150/180 seconds. Lucky Break becomes permanently deactivated for the remainder of the Trial once the total duration has elapsed. ""That's not enough to beat me.  Not even close. "" - Yui Kimura",Yui
Mettle of Man,"Evil has a way of always finding you. After you earn 3 Protection Hit Score Events| Mettle of Man activates. Once activated| the next occasion that would put you into the Dying State  from the Injured State  is ignored. The next time you heal back to full health| your Aura will be revealed to the Killer when you are farther than 12/14/16 metres from the Killer. Mettle of Man will deactivate the next time you are put into the Dying State. Increases the odds of being the Obsession. The Killer can only be obsessed with one Survivor at a time. ""Evil has a bullseye on my back the size of Tiger Stadium. "" - Ash Williams",Ash
No Mither,"You are affected by the Broken  Status Effect for the duration of the Trial.  Your thick blood coagulates practically instantly. You do not leave Pools of Blood .  Grunts of Pain caused by injuries are reduced by 0/25/50 % at any time.  Grants the ability to fully recover from the Dying State . ""I lost it.  Just lamped him one.  They went and banned me didn't they.  Went t'pub afterwards| had a few pints and moved on to the next chapter.  I couldn't be mithered with it all anyway| you know what I mean? Can't be arsed. "" - David King",David
No One Left Behind,"It is inconceivable to leave someone behind. Once at least one Exit Gate  has been opened| gain 50/75/100 % more Bloodpoints  for actions in the Altruism Category and perform them 30/40/50 % quicker. The Auras  of all other Survivors are revealed to you. "". . .  yeah| no shit.  But I believe we can outsmart and overthrow him if we work together.  Don't be predictable and selfish!"" - Clyde| The Lost Tapes",All
Object of Obsession,"A supernatural bond links you to the Killer. If you are looking in the Killer's direction| your link will reveal your Auras  to each other. This effect applies only if you are outside of the Killer's Terror Radius. As the Killer's Obsession | this effect applies to a maximum range of 56/64/72 metres.  Otherwise| it applies to a maximum range of 44/56/64 metres. Increases the odds of being the Obsession. The Killer can only be obsessed with one Survivor at a time. ""He was watching me!"" - Laurie Strode",Laurie
Off the Record,"You've learnt that a quiet approach is sometimes best. Once you are unhooked or escape from the Hook | Off the Record  activates for 60/70/80 seconds. While Off the Record is active| your Aura  will not be shown to the Killer and Grunts of Pain caused by injuries are reduced by 100 %. ""Trust me| I investigate thoroughly and discreetly. "" - Zarina Kassir",Zarina
Open-Handed,"Strengthens the potential of you and your team's Aura-reading abilities. Increases Aura-reading ranges by 4/6/8 metres. ""Paying attention is what kept me alive through the years.  That| and my good looks of course. "" - Ace Visconti",Ace
Pharmacy,"You have a knack for finding medicine. Searches through Chests  are 40/60/80 % faster and the noises they cause along with their hearing distance are reduced by 8 metres. Pharmacy guarantees an Emergency Med-Kit  on your first completed Chest Search. ""Adrenaline| it's going to keep us awake.  I stole it from one of the Nurse's carts. "" - Quentin Smith",Quentin
Plunderer's Instinct,"Unlocks potential in one's Aura-reading ability. Auras  of unopened Chests  and Items  in the environment are revealed to you when standing within a range of 16/24/32 metres. Grants a considerably better chance at finding an Item of a higher Rarity from Chests . ""The pioneers used to loot these babies for hours. "" - Aizeyu| The Lost Tapes",All
Poised,"Achieving goals boosts your confidence. After a Generator  is completed| you leave no Scratch Marks for 6/8/10 seconds. ""Ok| stay calm.  Don't overthink it and just keep moving forward: you got this. "" - Jane Romero",Jane
Premonition,"You have the undeniable capability to sense danger. Get an auditory warning when looking in the direction of the Killer in a 45° cone within a range of 36 metres. Premonition has a cool-down of 60/45/30 seconds each time it activates. Premonition trumps any of the Killer's stealth abilities. ""I have a bad feeling about this!""",All
Prove Thyself,"For each Survivor other than you| gain a stack-able 15 % Repair speed buff awarded to all repairing Survivors within a range of 4 metres up to a maximum of 45 %. Gain 50/75/100 % more Bloodpoints for cooperative Actions. Prove Thyself does not stack with other instances of itself. ""Show me what you can do!"" - Dwight Fairfield",Dwight
Quick & Quiet,You do not make as much noise as others when quickly vaulting over obstacles or hiding in Lockers . The vault and hide actions' noise detection and audio range is reduced by 100 %. Quick & Quiet can only be triggered once every 30/25/20 seconds. ,Meg
Red Herring,"You've noticed that people pay attention to whatever makes the loudest noise. After repairing a Generator  for at least 3 seconds| it will be highlighted to you with a yellow Aura .  The Generator stays highlighted until it is fully repairing| or you repair a new Generator| or enter a Locker . Entering any Locker will trigger a Loud Noise indicator for the Killer at the highlighted Generator's location. Red Herring can only be triggered once every 100/80/60 seconds. ""The news edit out what is burdensome and complex| which is the truth. "" - Zarina Kassir",Zarina
Repressed Alliance,You're accustomed to being hunted by malicious forces| and you've begun using it to your advantage. Repressed Alliance activates after repairing Generators  for a total of 80/70/60 seconds. When repairing a Generator while Repressed Alliance is active| press the Active Ability button to call upon the Entity to block the Generator for 30 seconds| after which Repressed Alliance deactivates. Affected Generators will be revealed to all Survivors by a white Aura. ,Cheryl
Resilience,"You are motivated in dire situations. Grants 3/6/9 % increased Repairing| Healing| Sabotage| Unhooking| Vaulting| Cleansing| Gate Opening| and Chest Searching speeds while Injured . ""Focus| even in these desperate times. """,All
Saboteur,Unlocks potential in one's Aura-reading ability. See Hook  Auras  in a radius of 56 metres from the pick-up spot if a Survivor is being carried. Unlocks the ability to sabotage Hooks without a Toolbox . Sabotaging a Hook without a Toolbox takes 2. 5 seconds.  The Sabotage action has a cool-down of 90/75/60 seconds. ,Jake
Second Wind,"You have learnt to avoid awkward situations with parents.  Part of you still thinks your best option is to run away and hope things will take care of themselves. When you have healed other Survivors for the equivalent of one Health State | Second Wind activates. While Second Wind is activated| the next time you are unhooked or unhook yourself| you are affected by the Broken  Status Effect. After a total duration of 34/32/30 seconds| Second Wind automatically heals you from Injured  to the Healthy State . Second Wind deactivates once you are completely healed or if you are put into the Dying State  before Second Wind successfully triggers. You will lose the Broken Status Effect once Second Wind deactivates. Second Wind does not activate if you are already afflicted by the Broken Status Effect. ""Yeah| that's a no. "" - Steve Harrington",Steve
Self-Care,Unlocks the ability to heal yourself without a Med-Kit  at 50 % of the normal Healing speed. Increases the efficiency of Med-Kit self-heal by 10/15/20 %. ,Claudette
Slippery Meat,You have developed an efficient way to get out of Bear Traps  and Hooks . Grants up to 3 extra escape attempts on the Hook. The odds of freeing yourself from Bear Traps are increased by 15/20/25 %. ,All
Small Game,"You have the undeniable capability to sense danger. Get an auditory warning when looking in the direction of Killer Traps and Totems in a 45° cone within a range of 8/10/12 metres. Small Game has a cool-down of 15/12/10 seconds each time it activates. Only works on Traps that are set by Killers. ""Nope. "" - Andy| The Lost Tapes",All
Sole Survivor,"As more of your friends fall to the Killer| you become shrouded in isolation and the Killer's Aura-reading abilities towards you are disrupted. Your Aura  cannot be read by the Killer within a maximum range of 20/22/24 metres for each killed or sacrificed Survivor. Increases the odds of being the Obsession. The Killer can only be obsessed with one Survivor at a time. ""It was the boogeyman. "" - Laurie Strode",Laurie
Solidarity,"Sharing painful experiences has the power to heal. While injured| healing a Survivor without using a Med-Kit  also heals you at a 40/45/50 % conversion rate. ""Showing up when things get rough| listening to people's problems| and supporting those in need; that's how you become stronger| that's how you grow. "" - Jane Romero",Jane
Soul Guard,You have been through immense hardship and you're stronger for it. Gain the Endurance  Status Effect for 4/6/8 seconds after being healed or having recovered from the Dying State . During this time| any damage that would put you in the Dying State will instead apply the Deep Wound  Status Effect. You have 20 seconds to Mend yourself. If you take any damage while affected by Deep Wound| or if the timer ends| you are immediately put into the Dying State. While affected by the Cursed  Status Effect| you can fully recover from the Dying State. ,Cheryl
Spine Chill,"An unnatural tingle warns you of impending doom. Get notified when the Killer is looking directly in your direction and standing within a range of 36 metres. While Spine Chill is active| Skill Check trigger odds are increased by 10 % with success zones reduced by 10 %. While Spine Chill is active| your Repair| Healing| Sabotage| Unhooking| Vaulting| Cleansing| Exit Gate Opening| and Chest Searching speeds are increased by 2/4/6 %. ""There is a voice that doesn't use words.  Listen. . "" - Sassy| The Lost Tapes",All
Sprint Burst,When starting to run| break into a sprint at 150 % of your normal running speed for a maximum of 3 seconds. Causes the Exhausted  Status Effect for 60/50/40 seconds. Sprint Burst cannot be used when Exhausted. You do not recover from Exhaustion while running. ,Meg
Stake Out,"Getting close to the Killer  fills you with determination. For each 15 seconds you are standing within the Killer's Terror Radius and are not in a Chase| you gain a Token up to a maximum of 2/3/4 Tokens. When Stake Out has at least 1 Token| Good Skill Checks  are considered Great Skill Checks| consume 1 Token| and grant an additional Progression bonus of 1 %. ""I had you| I had you on your knees.  You're runnin' scared because we had you.  We're gonna close this case!"" - Detective David Tapp",Tapp
Streetwise,"Long nights out taught you to do a lot with what you've got. Reduces Item  Consumption rate by 15/20/25 % for you and Allies within a range of 8 metres. Once out of range| this effect persists for 15 seconds. ""You're doing it wrong! Let me show you how it's done. "" - Nea Karlsson",Nea
This Is Not Happening,You perform at your best when you are under extreme stress. Great Skill Check  success zones when repairing| healing and sabotaging get 10/20/30 % bigger when you are Injured . ,All
Technician,"You are apt at handling machinery with the greatest care and precision. The noises caused by your Repairs and their hearing distance are reduced by 8 metres. On a failed Repair Skill Check | there is a 30/40/50 % chance that the Generator  Explosion will be prevented. ""I'm gonna stealth this one. "" - Feng Min",Feng
Tenacity,"There is nothing stopping you. Your ferocious tenacity in dire situations allows you to crawl 30/40/50 % faster and recover at the same time. ""What the hell is this? I'm taking this bastard down!"" - Detective David Tapp",Tapp
Up the Ante,"All will be well in the end; you just know it.  Your confidence strengthens the feeling of hope for those around you. For each other Survivor still alive| grant a 1/2/3 % Luck  Bonus to all remaining Survivors. ""What can I say? I'm just a very lucky guy. . .  I'm sure some of it will rub off on you. "" - Ace Visconti",Ace
Unbreakable,"Past battles have taught you a thing or two about survival. Grants the ability to fully recover from the Dying State  once per Trial. Increases the Dying State Recovery speed by 25/30/35 %. ""Goddammit| I am seriously FUBAR!"" - Bill Overbeck",Bill
Urban Evasion,"Years of evading the cops taught you a thing or two about stealth. Your Movement speed while crouching is increased by 90/95/100 %. ""The paint is still fresh but I'm long gone. "" - Nea Karlsson",Nea
Vigil,"You look over your friends even in dire situations. You and your Allies within a range of 8 metres recover from Exhaustion | Haemorrhage | Mangled | Hindered  and Blindness  Status Effects 10/15/20 % faster. Once out of range| this effect persists for 15 seconds. ""I'm gonna be here when you wake up.  You're gonna make it. "" - Quentin Smith",Quentin
Wake Up!,"Unlocks potential in one's Aura-reading ability. Once all Generators  are powered| Exit Gates  are revealed to you when within a range of 128 metres. While opening the Exit Gates| reveal your Aura  to other Survivors within a range of 128 metres. While Wake Up! is active| you open Exit Gates 5/10/15 % faster. ""Ok| look.  If we survive the next 24 hours| then I'll take you out on a real date. "" - Quentin Smith",Quentin
We'll Make It,"Helping others heightens your morale. For each Survivor you rescue from a Hook| gain an additional 100 % speed increase to healing up others for 30/60/90 seconds. Cumulative Healing Speed bonuses cannot exceed 100 %. ""I'm confident we can all escape in one piece if we help each other. """,All
We're Gonna Live Forever,"Your few friends deserve the best protection. Each time you perform a Safe Hook Rescue or take a Protection Hit for a Survivor| gain a stack-able 25 % Bonus to all Bloodpoint gains up to a maximum of 50/75/100 %. The Bonus Bloodpoints are only awarded post-Trial. ""Come on then| let's 'ave it! I don't give a shit pal. "" - David King",David
Windows of Opportunity,"Unlocks potential in one's Aura-reading ability. Auras of Pallets | Breakable Walls | and Vaults are revealed to you when within a range of 20 metres. Windows of Opportunity has a cool-down of 30/25/20 seconds when vaulting or dropping a Pallet during a Chase. ""Rise and shine| work hard| carve out your name|Take aim| pull the trigger| hit the bulls eye for fame|Know the value of faith| an' family| and don't you complain|Open wide| your windows of opportunity""- Kate Denson's ""Windows of Opportunity""",Kate
A Nurse's Calling,"Unlocks potential in one's Aura-reading ability. The Auras  of Survivors who are healing or being healed are revealed to you when they are within a range of 20/24/28 metres. ""Still attached to the fragments of her past life| she is drawn to those in need of help. """,Nurse
Agitation,"You get excited in anticipation of hooking your prey. Increases your Movement speed while transporting bodies by 6/12/18 %. While transporting a body| your Terror Radius is increased by 12 metres. ""At some point| the excitement of hooking one of us becomes more important than the desire to kill us. """,Trapper
Bamboozle,Your Vault speed is 5/10/15 % faster. Performing a Vault action calls upon The Entity  to block that Vault location for 8/12/16 seconds. Only one Vault location may be blocked this way at any given time.  The Vault location is blocked only for Survivors. Bamboozle does not affect Pallets . ,Clown
Barbecue & Chilli,"A deep bond with The Entity  unlocks potential in one's Aura-reading ability. After hooking a Survivor| all other Survivors' Auras  are revealed to you for 4 seconds when they are farther than 40 metres from the Hook . Each time a Survivor is hooked for the first time| gain a 25 % stack-able bonus to all Bloodpoint gains up to a maximum of 50/75/100 %. The bonus Bloodpoints are only awarded post-Trial. ""I just can't take no pleasure in killing.  There's just some things you gotta do.  Don't mean you have to like it. "" - Drayton Sawyer",Cannibal
Beast of Prey,"Your lust for a kill is so intense that your connection with The Entity  is momentarily lost| making you totally unpredictable. Grants the Undetectable  Status Effect after gaining Bloodlust  Tier I.  The Status Effect is removed once you lose Bloodlust. Gain 30/40/50 % more Bloodpoints  for actions in the Hunter Category. ""Where did she go?""",Huntress
Bitter Murmur,Unlocks potential in one's Aura-reading ability. Each time a Generator  is fully repaired| Survivors within 16 metres of the completed Generator will be revealed for 5 seconds. When the last Generator is fully repaired| all the Survivors' Auras  are revealed for 5/7/10 seconds. ,All
Blood Echo,"The agony of one is inflicted on others. When hooking a Survivor| all other injured Survivors suffer from the Haemorrhage  Status Effect until healed and the Exhausted  Status Effect for 45 seconds. Blood Echo can only be triggered once every 80/70/60 seconds. ""Attack an enemy with precision and their allies will feel it. "" - Renjiro's Doctrine 6:3",Oni
Blood Warden,"As soon as the Exit Gate  is opened| Blood Warden is activated.  The Auras  of any Survivors located within Exit Gate areas are revealed to you. Once per Trial| hooking a Survivor while Blood Warden is active calls upon The Entity  to block both Exits for all Survivors for 30/40/60 seconds. ""This is my world.  And you can't ever leave. "" - Freddy Krueger",Nightmare
Bloodhound,"Like a hunting scent hound| you smell traces of blood at a great distance. Fresh Blood Stains are considerably more discernible than normal and can be tracked for 2/3/4 seconds longer than normal. ""Pebbles shimmering in the moonlight; my life drips down in a trail so easy to follow. """,Wraith
Brutal Strength,"Your great strength allows you to shred through your prey's defences. Destroy dropped Pallets  and Breakable Walls | and damage Generators  10/15/20 % faster. ""It's more than muscles.  A dark power motivates the beast. """,Trapper
Corrupt Intervention,"Your prayers invoke a dark power that meddles with the Survivors' chances of survival. 3 Generators located farthest from you are blocked by The Entity  for 80/100/120 seconds at the start of the Trial. Survivors cannot repair the Generators  for the duration Corrupt Intervention is active. ""It shall be known across the land that the Gods curse the unfaithful. "" (The Tablet of Adiris| 3. 7)",Plague
Coulrophobia,Your presence alone instils great fear. Survivors within your Terror Radius have a 30/40/50 % penalty to the Healing progression speed. ,Clown
